Found 4 device(s):
  0:  Realtek, RTL2838UHIDIR, SN: 00000001
  1:  Realtek, RTL2838UHIDIR, SN: 00000001
  2:  Realtek, RTL2838UHIDIR, SN: 00000001
  3:  Realtek, RTL2838UHIDIR, SN: 00000001

Using device 3: Generic RTL2832U OEM
Found Rafael Micro R820T tuner
Exact sample rate is: 250000.000414 Hz
[R82XX] PLL not locked!
Sampling at 250000 S/s.
Tuned to 150050000 Hz.
Tuner gain set to 49.60 dB.
Reading samples in async mode...
Ignoring signals shorter than 0.010000 and longer than 0.030000
Will print timestamp every 1500000 transforms
2020-07-22 19:36:49.034725507
timestamp;samples;duration;signal_freq;signal_bw;max_signal;noise
2020-07-22 19:36:52.381925411;16800;0.012800  ;-32153.841797;5000.000000;80.165260;-37.002754
2020-07-22 19:36:52.394725411;16864;0.012800  ;-49249.996094;4000.000244;88.612755;-28.650063
2020-07-22 19:36:52.413925475;16960;0.012800  ;-31999.994141;5000.000000;81.713562;-37.002754
2020-07-22 19:36:52.413925475;16992;0.019200  ;-50333.324219;21000.000000;96.052444;-28.650063
2020-07-22 19:36:52.442725507;17104;0.012800  ;-50301.878906;19000.000000;95.835808;-28.650063
2020-07-22 19:36:52.477925379;17280;0.012800  ;-32571.423828;7000.000000;81.184517;-35.407112
2020-07-22 19:36:52.490725347;17344;0.012800  ;-49249.996094;4000.000244;88.620201;-28.650063
2020-07-22 19:36:52.509925443;17472;0.019200  ;-49250.003906;22000.000000;94.575806;-28.650063
2020-07-22 19:36:52.538725443;17584;0.012800  ;-49228.066406;20000.000000;95.327072;-28.650063
2020-07-22 19:36:52.538725443;17600;0.016000  ;-31833.332031;4000.000244;78.290909;-37.002754
2020-07-22 19:36:52.586725315;17824;0.012800  ;-49090.906250;3000.000000;88.140923;-28.650063
2020-07-22 19:36:52.602725315;17952;0.022400  ;-48874.996094;23000.000000;93.088829;-28.650063
2020-07-22 19:36:52.657125315;18208;0.019200  ;-49999.992188;20000.000000;93.027618;-28.650063
2020-07-22 19:36:52.679525443;18288;0.012800  ;-49249.996094;4000.000244;88.323738;-28.650063
2020-07-22 19:36:52.695525507;18368;0.012800  ;-32222.218750;4000.000244;80.057457;-37.002754
2020-07-22 19:36:52.727525315;18528;0.012800  ;-49960.000000;21000.000000;91.821999;-28.650063
2020-07-22 19:36:52.749925443;18672;0.019200  ;-48777.773438;24000.000000;92.891014;-28.650063
2020-07-22 19:36:52.759525379;18688;0.012800  ;-32299.996094;5000.000000;79.846329;-37.002754
2020-07-22 19:36:52.788325379;18880;0.022400  ;-32166.660156;4000.000244;80.369286;-37.002754
2020-07-22 19:36:52.820325443;19008;0.016000  ;-49425.917969;19000.000000;95.597519;-28.650063
2020-07-22 19:36:52.884325315;19360;0.022400  ;-49821.425781;20000.000000;94.492477;-28.650063
2020-07-22 19:36:52.913125379;19472;0.016000  ;-49230.761719;20000.000000;95.484436;-28.650063
2020-07-22 19:36:52.909925315;19472;0.016000  ;-32214.279297;4000.000244;79.221077;-35.407112
2020-07-22 19:36:52.957925379;19744;0.025600  ;-49228.070312;19000.000000;94.658127;-28.650063
2020-07-22 19:36:53.002725443;19920;0.016000  ;-32416.660156;4000.000244;80.002388;-37.002754
2020-07-22 19:36:53.002725443;19936;0.019200  ;-49551.019531;18000.000000;95.545197;-28.650063
